"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-01","0.00","0.0","0.0","33","29",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-02","0.00","0.0","0.0","35","28",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-03","0.00","0.0","0.0","36","27",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-04","0.00","0.0","0.0","35","27",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-05","0.36","0.0","0.0","39","31",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-06","0.01","0.0","0.0","47","38",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-07","0.23","0.0","0.0","47","32",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-08","0.02","0.0","0.0","41","29",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-09","0.00","0.0","0.0","41","34",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-10","0.00","0.0","0.0","41","34",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-11","0.01","0.0","0.0","35","29",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-12","0.64","0.0","0.0","52","29",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-13","0.56","0.0","0.0","57","41",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-14","0.01","0.0","0.0","58","51",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-15","1.06","0.0","0.0","55","48",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-16","0.75","0.0","0.0","56","54",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-17","0.00","0.0","0.0","56","44",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-18","0.62","0.0","0.0","44","38",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-19","0.00","0.0","0.0","41","36",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-20","0.00","0.0","0.0","40","31",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-21","0.81","0.0","0.0","47","39",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-22","0.00","0.0","0.0","51","35",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-23","0.02","0.0","0.0","45","35",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-24","0.00","0.0","0.0","52","40",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-25","0.00","0.0","0.0","52","37",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-26","0.00","0.0","0.0","53","34",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-27","0.00","0.0","0.0","55","34",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-28","0.00","0.0","0.0","54","35",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-29","0.03","0.0","0.0","54","40",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-30","0.04","0.0","0.0","50","37",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-01-31","0.00","0.0","0.0","43","35",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-01","0.00","0.0","0.0","42","32",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-02","0.00","0.0","0.0","43","30",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-03","0.00","0.0","0.0","48","35",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-04","0.00","0.0","0.0","50","39",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-05","0.11","0.0","0.0","49","44",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-06","0.09","0.0","0.0","55","45",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-07","0.14","0.0","0.0","50","41",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-08","0.05","0.0","0.0","50","33",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-09","0.00","0.0","0.0","44","30",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-10","0.00","0.0","0.0","46","30",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-11","0.00","0.0","0.0","51","34",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-12","0.41","0.0","0.0","56","40",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-13","0.10","0.0","0.0","52","37",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-14","0.38","0.0","0.0","55","42",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-15","0.61","0.0","0.0","45","36",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-16","0.32","0.0","0.0","44","33",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-17","0.03","0.0","0.0","47","35",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-18","0.14","0.0","0.0","45","32",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-19","0.00","0.0","0.0","52","31",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-20","0.00","0.0","0.0","46","27",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-21","0.10","0.0","0.0","48","34",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-22","0.08","0.0","0.0","47","35",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-23","0.01","0.0","0.0","43","32",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-24","0.36","1.5","0.0","40","27",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-25","0.00","0.0","0.0","34","24",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-26","0.00","0.0","0.0","32","18",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-27","0.12","0.0","0.0","45","31",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-02-28","2.25","0.0","0.0","42","35",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-03-01","0.68","0.0","0.0","42","33",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-03-02","0.21","0.0","0.0","49","39",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-03-03","0.28","0.0","0.0","49","37",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-03-04","0.43","0.0","0.0","46","33",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-03-05","0.09","0.0","0.0","52","38",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-03-06","0.00","0.0","0.0","46","34",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-03-07","0.01","0.0","0.0","50","31",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-03-08","0.21","0.0","0.0","58","38",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-03-09","0.48","0.0","0.0","57","43",
"USC00356750","PORTLAND WEATHER FORECAST OFFICE, OR US","2011-03-10","0.70","0.0","0.0","53","42",
