HOUSEID,PERSONID,HHSIZE,HH_RACE,HHFAMINC,URBRUR,TRIPPURP,TRPTRANS,TRVLMIN,TRPMILES
20000017,01,3,01,18,02,HBO,03,25,22
20000017,01,3,01,18,02,NHB,03,2,0.2222222222222222
20000017,01,3,01,18,02,HBSOCREC,03,30,22
20000017,01,3,01,18,02,HBO,03,35,20
20000017,01,3,01,18,02,HBO,03,35,20
20000017,02,3,01,18,02,HBSOCREC,03,25,22
20000017,02,3,01,18,02,NHB,03,3,0.2222222222222222
20000017,02,3,01,18,02,NHB,03,2,0.2222222222222222
20000017,02,3,01,18,02,NHB,03,2,0.2222222222222222
20000017,02,3,01,18,02,NHB,03,3,0.5555555555555556
20000017,02,3,01,18,02,HBO,03,30,22
20000017,02,3,01,18,02,HBO,03,35,20
20000017,02,3,01,18,02,HBO,03,35,20
20000231,01,1,01,08,01,HBSHOP,01,7,3
20000231,01,1,01,08,01,NHB,01,5,2
20000231,01,1,01,08,01,HBW,01,12,6
20000231,01,1,01,08,01,HBW,01,12,5
20000231,01,1,01,08,01,HBW,01,11,5
20000521,01,2,01,06,01,HBSHOP,01,15,1
20000521,01,2,01,06,01,NHB,01,20,3
20000521,01,2,01,06,01,NHB,01,10,1
20000521,01,2,01,06,01,HBSHOP,01,20,5
20000521,02,2,01,06,01,HBSOCREC,01,35,12
20000521,02,2,01,06,01,HBSOCREC,01,30,12
20001283,01,1,02,03,01,HBSHOP,23,10,0.4444444444444444
20001283,01,1,02,03,01,NHB,17,15,7.777777777777778
20001283,01,1,02,03,01,NHB,23,10,1.1111111111111112
20001283,01,1,02,03,01,HBSHOP,17,30,8.88888888888889
20001603,01,2,01,16,02,HBSHOP,23,15,0.1111111111111111
20001603,01,2,01,16,02,NHB,23,15,0.1111111111111111
20001603,01,2,01,16,02,NHB,97,10,0.1111111111111111
20001603,01,2,01,16,02,NHB,97,3,0.2222222222222222
20001603,01,2,01,16,02,HBO,23,3,0.2222222222222222
20001603,01,2,01,16,02,HBO,23,3,0.2222222222222222
20001603,02,2,01,16,02,HBW,04,25,15
20001603,02,2,01,16,02,NHB,01,30,15
20001603,02,2,01,16,02,NHB,01,30,26
20001603,02,2,01,16,02,NHB,01,25,5
20001603,02,2,01,16,02,NHB,01,25,47
20001603,02,2,01,16,02,NHB,01,30,14
20001603,02,2,01,16,02,NHB,01,20,14
20001603,02,2,01,16,02,NHB,01,20,38
20001603,02,2,01,16,02,NHB,01,20,38
20001603,02,2,01,16,02,HBW,04,30,15
20001649,01,2,01,17,01,HBSHOP,03,1,0.5
20001649,01,2,01,17,01,NHB,03,3,0.5555555555555556
20001649,01,2,01,17,01,NHB,01,6,5
20001649,01,2,01,17,01,HBSHOP,03,9,6
20001649,01,2,01,17,01,HBO,03,5,3
20001649,01,2,01,17,01,HBO,03,5,3
20001649,01,2,01,17,01,HBSOCREC,23,10,0.2222222222222222
20001649,01,2,01,17,01,HBSOCREC,23,9,0.3333333333333333
20001649,02,2,01,17,01,HBSHOP,02,11,0.5555555555555556
20001649,02,2,01,17,01,HBSHOP,02,10,0.5555555555555556
20001649,02,2,01,17,01,HBSHOP,02,10,5
20001649,02,2,01,17,01,HBSHOP,02,10,5
20001649,02,2,01,17,01,HBSHOP,02,5,2
20001649,02,2,01,17,01,HBSHOP,02,4,2
20002413,01,3,01,01,01,HBSHOP,23,30,1.3333333333333333
20002413,01,3,01,01,01,HBSHOP,23,30,1.3333333333333333
20002413,02,3,01,01,01,HBO,23,30,1.6666666666666667
20002413,02,3,01,01,01,HBO,01,20,1
20002440,02,2,01,-7,01,HBSOCREC,23,30,1.6666666666666667
20002440,02,2,01,-7,01,HBSOCREC,23,29,1.6666666666666667
20002440,02,2,01,-7,01,HBSHOP,04,45,12
20002440,02,2,01,-7,01,HBSHOP,04,45,12
20002440,02,2,01,-7,01,HBSOCREC,23,30,1.6666666666666667
20002440,02,2,01,-7,01,HBSOCREC,23,29,1.6666666666666667
20002570,01,4,01,16,01,HBO,03,28,12
20002570,01,4,01,16,01,NHB,03,35,13
20002570,01,4,01,16,01,NHB,03,25,16
20002570,01,4,01,16,01,NHB,03,10,8
20002570,01,4,01,16,01,HBO,03,20,7
20002570,01,4,01,16,01,HBO,03,5,0.5555555555555556
20002570,01,4,01,16,01,HBO,03,2,0.5555555555555556
20002570,01,4,01,16,01,HBO,03,5,0.5555555555555556
20002570,01,4,01,16,01,HBO,03,5,0.5555555555555556
20002570,03,4,01,16,01,NHB,03,20,7
20002570,03,4,01,16,01,NHB,03,5,0.5555555555555556
20002570,03,4,01,16,01,HBSOCREC,03,5,0.5555555555555556
20002570,03,4,01,16,01,HBO,01,5,3
20002570,04,4,01,16,01,HBO,01,5,3
20002570,04,4,01,16,01,NHB,01,33,20
20002570,04,4,01,16,01,NHB,01,7,2
20002570,04,4,01,16,01,NHB,01,5,2
20002570,04,4,01,16,01,NHB,01,4,1
20002570,04,4,01,16,01,NHB,01,6,2
20002570,04,4,01,16,01,NHB,01,5,1
20002570,04,4,01,16,01,HBW,01,47,21
20002888,01,1,01,04,01,HBO,01,15,4
20002888,01,1,01,04,01,HBO,01,15,4
20003401,01,1,02,02,01,HBSHOP,23,15,0.2222222222222222
20003401,01,1,02,02,01,HBSHOP,23,10,0.2222222222222222
20004480,01,3,01,17,01,HBO,03,6,2
20004480,01,3,01,17,01,NHB,03,2,0.4444444444444444
20004480,01,3,01,17,01,NHB,03,4,1
20004480,01,3,01,17,01,NHB,03,7,2
20004480,01,3,01,17,01,HBSHOP,03,7,2
20004480,01,3,01,17,01,HBSHOP,03,4,1
20004480,01,3,01,17,01,HBSHOP,03,4,1
20004480,01,3,01,17,01,HBO,03,7,2
20004480,01,3,01,17,01,HBO,03,6,2
20004480,02,3,01,17,01,HBW,01,25,17
20004480,02,3,01,17,01,NHB,23,10,0.3333333333333333
20004480,02,3,01,17,01,NHB,23,10,0.3333333333333333
20004480,02,3,01,17,01,HBW,01,45,17
20004480,03,3,01,17,01,HBO,03,6,2
20004480,03,3,01,17,01,NHB,01,7,4
20004480,03,3,01,17,01,NHB,01,2,1
